,San Diego
497,37200700069346CUMCCTL
498,GIC882114
499,37200700084414CUOECTL
500,37200800076935
501,37200900081893CUNPCTL
502,37200900094518CUDFCTL
503,GIC845629
504,37200800058892CUMCNC
505,"DVN15306,DVN15307"
506,37200900092286CUNPCTL
507,37200900052027CUORNC
508,37200800097817CUMCCTL
509,37200900066321CUNPEC
510,37200900074889CUBTSC
511,37200800057908CUDFNC
512,37200900073509CUORSC
513,37200900086975CUMCCTL
514,37200900051345CUBCNC
515,37200800099342CUCRCTL
516,37200800099342CUCRCTL
517,37200800099342CUCRCTL
518,37200800090769CUBTCTL
519,37200800084921CUNPCTL
520,37200800083145CUMCCTL
521,37200800086134CUWTCTL
522,37200800052535CUDFNC
523,37200800052285CUDFNC
524,37200700077593CUCRCTL
525,37200700081898CUPNCTL
526,37200800076811CUPNCTL
527,GIC849095
528,37200700069058CUDFCTL
529,37200700100874PRTRCTL
530,37200800055426CUDFNC
531,37200800055426CUDFNC
532,37200700078071CUPACTL
533,37200800084343CUBTCTL
534,37200700075060CUOECTL
535,37200800085135CUFRCTL
536,37200800081583CUWTCTL
537,37200700077593CUCRCTL
538,37200800079195CUCrCTL
539,37200800081583CUWTCTL
540,37200800079712CUBCCTL
541,37200800079712CUCTL
542,37200800052944CUDFNC
543,37200700084414CUOECTL
544,07CV2218LAB(RBB)
545,37200700084414CUOECTK
546,37200700072584CUBTCTL
547,37200700055271CUNPNC
548,37200700079792CUCRNC
549,37200700062364CUDFEC
550,GIC879655
551,37200700083028CUBTCTL
552,37200700072299CUPNCTL
553,37200700100874PRTRCTL
554,37200700081758CUDFCTL
555,37200700055271CUNPNC
556,37200700051202CUBCNC
557,GIC882317
558,GIC876598
559,37200700069308CUPNCTL
560,07CV1099JM(RBB)
561,GIS27802
562,GIC873301
563,37200800064975CUMCCTL
564,37200800064975CUMCCTL
565,37200700052133CUBCNC
566,GIC880043
567,GIC877518
568,GIC875218
569,37200700064058CUFRCTL
570,GIN058564
571,GIC877214
572,GIC875218
573,IC875751
574,GIC881759
575,GIN058564
576,Gin056321
577,GIC880043
578,07CV0031JMCAB
579,UC328321
580,GIC880043
581,GIC837613
582,GIC869146
583,GIC837613
584,GIN056174
585,GIC875218
586,GIN053662
587,GIC868531
588,GIC868531
589,GIC870044
590,GIC850640
591,GIC870270
592,GIN052118
593,GIC868698
594,GIN052996
595,GIC849091
596,GIE033412
597,GIN045653
598,GIC867755
599,GIE033412
600,GIN053331
601,GIC866983
602,GIC842615
603,GIC842750
604,GIN045653
605,GIN051745
606,GIC852762
607,GIN045653
608,GIC860705
609,GIC863281
610,GIE030772
611,IC856295
612,PN28221111
613,GIN048514
614,GIN045653
615,GIS23532
616,GIC848495
617,IC8405248
618,GIC853058
619,GIC851209
620,GIC856095
621,GIN038024
622,GIN047403
623,GIC856830
624,05CV0063W(AJB)
625,GIC852482
626,IC850078
627,GIC837225
628,GIN045174
629,GIN040902
630,05CV0063W(AJB)
631,GIN045174
632,GIN044220
633,GIN044539
634,GIE026955
635,GIN041759
636,GIC805339
637,04CV0087H(JFS)
638,GIC821315
639,GIE016539
640,GIN039860
641,GIE024721
642,GIC826140
643,GIC831138
644,GIC842246
645,GIN037751
646,GIS18259
647,GIC816742
648,GIC833031
649,GIC833031
650,GIC834762
651,GIN036823
652,GIC829185
653,GIC830275
654,GIC826081
655,GIC831138
656,GIC830274
657,GIC826267
658,GIC817936
659,GIN033903
660,GIC789023
661,GIN036729
662,JCCP4041&4042
663,GIN034330
664,GIC823494
665,GIE019927
666,GIC817717
667,GIC820800
668,GIE020665
669,GIC818701
670,GIC816456
671,GIC816441
672,GIC816441
673,GIN026443
674,GIC789023
675,GIC782930
676,GIC813849
677,GIC816441
678,GIE015152
679,GIN011227
680,GIN011226
681,GIN010698
682,GIC816365
683,GIC814017
684,GIC813174
685,GIC818446
686,GIC811770
687,GIC817698
688,GIC814017
689,03CV00380IEG(RBB)
690,GIC813174
691,01CV2306
692,03CV00525
693,03CV1871IEG(JAH)
694,GIE018662
695,GIC816742
696,GIC813849
697,GIC813174
698,GIC793432
699,GIC813749
700,GIC801479
701,GIC800955
702,GIC808576
703,GIC811770
704,GIC796393
705,GIC809090
706,GIN023285
707,GIN028630
708,GIN028362
709,GIC808211
710,GIC783587
711,UN011164
712,GIC806408
713,GIC808694
714,GIN014440
715,02CV2258B(AJB)
716,GIN026304
717,GIN021911
718,GIE017381
719,GIC802645
720,GIC806972
721,GIN026551
722,GIC802645
723,GIC800033
724,GIC803210
725,GIC773848
726,GIN026551
727,776363
728,776364
729,GIC776362
730,GIC776367
731,776368
732,GIC776366
733,GIC776365
734,GIC772552
735,SA011087GLT(MLGx)
736,GIC781956
737,GIN017452
738,99cv0241R(RBB)
739,GIC781655
740,GIC800033
741,GIC797867
742,GIN025226
743,GIN025226
744,GIC797057
745,GIC791516
746,GIC791515
747,GIC791514
748,GIC791518
749,GIC791188
750,GIC791191
751,GIC796101
752,GIE008797
753,GIC802180
754,GIC797365
755,GIC800870
756,GIC781655
757,02CV02173B(LSP)
758,GIC798169
759,GIC796098
760,GIC796098
761,GIC787653
762,GIC798877
763,GIC794150
764,GIC791189
765,GIC791517
766,GIC791190
767,GIC798359
768,GIC790637
769,GIC772546
770,GIC792358
771,GIC789106
772,GIC789107
773,GIC795254
774,GIN024811
775,GIC782749
776,GIC774913
777,GIN021925
778,GIC791315
779,IC789699
780,GIC783765
781,GIE012464
782,GIC791012
783,GIC787592
784,IC791230
785,IC791230
786,GIN015414
787,GIC779323
788,GIE010038
789,GIN015250
790,GIC784539
791,GIC784543
792,GIC784538
793,GIC785565
794,GIC774349
795,GIC781057
796,GIC780762
797,718276
798,GIC772245
799,GIC781863
800,GIC780474
801,GIC772347
802,GIN016746
803,GIC777669
804,GIC777299
805,GIC780474
806,IC777998
807,GIC778499
808,GIC777665
809,GIE009630
810,01CV1747IEG(NLS)
811,GIC766221
812,GIN012501
813,GIC768187
814,GIN005788
815,GIC767077
816,GIC759462
817,GIC759462
818,GIC759462
819,GIC759802
820,760035
821,GIC764706
822,N80213
823,GIC759462
824,GIC768187
825,GIN011713
826,GIN012501
827,GIC749401
828,GIC764513
829,GIC764878
830,GIN005788
831,GIC76037
832,GIN011226
833,GIC761893
834,00CV1839
835,GIC760693
836,IC759383
837,IC759947
838,GIC755526
839,GIN009555
840,GIC759282
841,GIC759462
842,GIC754197
843,GIC756299
844,N080213
845,GIC752505
846,GIC755107
847,GIC759282
848,EC18942
849,GIC759282
850,GIC756299
851,N080213
852,GIC755964
853,GIN007334
854,IC738742
855,GIN007334
856,EC18942
857,GIC748536
858,GIC748738
859,GIS003849
860,GIC750288
861,N080281TPN
862,GIC742600
863,EC18942
864,GIC747310
865,GIC743369
866,991095R(LAB)
867,728883
868,GIC741207
869,GIC741206
